,address,address2,latitude,longitude
0,서울특별시 강동구 양재대로134길 11,서울특별시,37.5477244,127.1461604
1,서울특별시 강동구 풍성로 237,서울특별시,37.53104,127.12854
2,서울특별시 강북구 도봉로 167,서울특별시,37.6128166,127.0302125
3,서울특별시 마포구 월드컵로3길 31,서울특별시,37.5503442,126.9108908
4,서울특별시 양천구 오목로50길 25,서울특별시,37.524246,126.8641112
5,경기도 수원시 장안구 송원로41번길 8,경기도,0.0,0.0
6,경기도 수원시 팔달구 중부대로223번길 20-7,경기도,0.0,0.0
7,경기도 수원시 팔달구 팔달문로130번길 69,경기도,0.0,0.0
8,경기도 시흥시 복지로 3,경기도,37.4403016,126.78693608499881
9,경기도 안성시 백성1길 30,경기도,0.0,0.0
10,경기도 안양시 만안구 안양로 370,경기도,0.0,0.0
11,경기도 오산시 법원로 66,경기도,37.1557754,127.0565594
12,경기도 용인시 수지구 수지로296번길 33,경기도,37.3234126,127.0921994
13,경기도 평택시 안중읍 안중로 39,경기도,36.98509215,126.92474758484161
14,경기도 평택시 조개터로25번길 33,경기도,0.0,0.0
15,경기도 화성시 병점1로 236-12,경기도,37.2090894,127.0457066
16,경기도 여주시 청심로 165-25,경기도,0.0,0.0
17,경기도 용인시 기흥구 신구로12번길 11-1,경기도,0.0,0.0
18,경기도 용인시 처인구 백옥대로 1399,경기도,37.2202784,127.2092134
19,경기도 이천시 어재연로 46,경기도,37.2801658,127.4460057
20,경기도 이천시 어재연로 6-1,경기도,37.2801658,127.4460057
21,경기도 광주시 문화로 121,경기도,37.4057229,127.2567313
22,경기도 구리시 건원대로 36,경기도,0.0,0.0
23,경기도 남양주시 호평로 57-2,경기도,37.6558015,127.2398278
24,경기도 성남시 수정구 산성대로 95,경기도,37.434263400000006,127.12958702387962
25,경기도 의정부시 청사로 37,경기도,37.7525297,127.06993
26,경기도 하남시 미사강변동로 79,경기도,37.5582086,127.1956945
27,경기도 고양시 덕양구 화신로260번길 64,경기도,37.633533299999996,126.8333852465882
28,경기도 고양시 일산서구 중앙로 1455,경기도,37.67090775,126.75845500718617
29,경기도 광명시 철산로30번길 24,경기도,0.0,0.0
30,경기도 김포시 중봉로 16,경기도,37.6240387,126.6975399786848
31,경기도 부천시 원미구 부일로505번길 7,경기도,0.0,0.0
32,인천광역시 서구 승학로 567,인천광역시,37.5667003,126.6826369
33,인천광역시 서구 원적로 121(가좌동,인천광역시,0.0,0.0
34,강원도 강릉시 경강로 2201,강원도,37.7360407,128.8519761
35,강원도 속초시 동해대로 4339,강원도,38.2077948,128.5641699
36,강원도 원주시 치악로 1841,강원도,37.3198338,127.9648052
37,강원도 춘천시 효자로 143,강원도,37.871186,127.7324783
38,충청북도 청주시 상당구 상당로14번길 1,충청북도,36.6294715,127.4923918
39,충청북도 청주시 서원구 사직대로 82,충청북도,36.6361529,127.4812497
40,충청북도 청주시 서원구 사직대로 84,충청북도,36.6361529,127.4812497
41,충청북도 청주시 흥덕구 복대로199번길 3,충청북도,36.63439,127.4402393
42,충청북도 청주시 흥덕구 사직대로 60,충청북도,36.6340911,127.4475214
43,충청북도 충주시 성서5길 11,충청북도,36.9725071,127.9306787
44,충청남도 당진시 시청2로 8,충청남도,36.8882197,126.645855
45,충청남도 천안시 서북구 충무로 130,충청남도,36.7978279,127.1316266
46,대전광역시 중구 계룡로 765,대전광역시,36.3224338,127.4125606
47,대전광역시 중구 계룡로 765,대전광역시,36.3224338,127.4125606
48,광주광역시 서구 마륵로 134,광주광역시,35.1466205,126.8453275
49,광주광역시 서구 상무대로 1071,광주광역시,35.1530356,126.8820028
50,전라북도 익산시 고봉로 244,전라북도,35.9596431,126.9712055
51,전라북도 전주시 덕진구 기린대로 385,전라북도,35.8695052,127.0709847
52,전라북도 전주시 완산구 감나무3길 4,전라북도,35.8307034,127.1215041
53,전라남도 광양시 중마중앙로 55,전라남도,34.9369205,127.6981869
54,전라남도 광양시 중마중앙로 55,전라남도,34.9369205,127.6981869
55,전라남도 순천시 대석1길 4-27,전라남도,34.9469147,127.524424
56,전라남도 순천시 장선배기2길 5-10,전라남도,0.0,0.0
57,전라남도 순천시 조례못등길 53,전라남도,34.9507502,127.5282273
58,전라남도 여수시 여서1로 21,전라남도,34.750345,127.701072
59,전라남도 나주시 중앙로 8,전라남도,35.0301106,126.7203902
60,전라남도 영광군 영광읍 천년로 1502(남천리),전라남도,0.0,0.0
61,전라남도 해남군 해남읍 중앙1로 95,전라남도,34.5746101,126.5910415
62,경상북도 김천시 평화순환길 248,경상북도,36.1247164,128.1064962
63,경상북도 안동시 제비원로 140,경상북도,36.5934551,128.7139915
64,경상북도 안동시 제비원로 140,경상북도,36.5934551,128.7139915
65,경상북도 경주시 원화로 388-1,경상북도,35.8515468,129.2175819
66,경상북도 포항시 남구 중앙로 149,경상북도,36.0237466,129.3682536
67,경상북도 포항시 남구 중앙로 149,경상북도,36.0237466,129.3682536
68,경상북도 포항시 남구 중앙로 149,경상북도,36.0237466,129.3682536
69,경상북도 포항시 남구 중앙로 149,경상북도,36.0237466,129.3682536
70,경상남도 김해시 대청로210번길 34,경상남도,35.1940126,128.7970773
71,경상남도 양산시 옥곡7길 16,경상남도,35.3330708,129.0361245
72,경상남도 진주시 동진로 96,경상남도,35.1793886,128.1528881
73,경상남도 창원시 마산회원구 3·15대로 803(합성동),경상남도,35.2413067,128.5850253
74,경상남도 창원시 성산구 용지로 94,경상남도,35.229284,128.681734
75,경상남도 창원시 의창구 의안로2번길 25,경상남도,35.2615773,128.6264495
76,경상남도 창원시 진해구 충장로 143-1,경상남도,35.1529806,128.679332
77,대구광역시 달서구 이곡서로 66,대구광역시,35.8541075,128.5063584
78,대구광역시 달서구 학산로 240,대구광역시,35.8312126,128.5354662
79,대구광역시 남구 두류공원로 30-1,대구광역시,35.8393762,128.5762463
80,대구광역시 남구 봉덕로 99,대구광역시,0.0,0.0
81,대구광역시 남구 중앙대로 224,대구광역시,35.8438357,128.5905393
82,대구광역시 달서구 비슬로 2690,대구광역시,35.8108009,128.5156378
83,울산광역시 남구 갈밭로10번길 24-1,울산광역시,35.53404,129.34189
84,울산광역시 동구 문현로 37,울산광역시,35.4788484,129.4103924
85,울산광역시 동구 방어진순환도로 588,울산광역시,35.49415085,129.42722699369858
86,울산광역시 중구 구교로 187,울산광역시,35.56132735,129.34092844293744
87,울산광역시 중구 옥교로 29,울산광역시,35.5525018,129.3260155
88,울산광역시 중구 종가17길 23,울산광역시,35.5812882,129.3386296
89,울산광역시 중구 화합로 364-1,울산광역시,35.5507077,129.3404844
90,부산광역시 기장군 정관읍 정관덕산길 35,부산광역시,35.3219258,129.1859157
91,부산광역시 동구 조방로26번길 9,부산광역시,35.1399387,129.063373
92,부산광역시 동래구 석사북로 53,부산광역시,35.2035962,129.0642843
93,제주특별자치도 서귀포시 일주동로 8544,제주특별자치도,33.4094625,126.8981539
94,제주특별자치도 제주시 동광로 85,제주특별자치도,33.5082047,126.5413378
