,woongjin
0,"충청북도 청주시 흥덕구 서현로32, 가경자이프라자 401호"
1,충청북도 청주시 흥덕구 가경로 123 한국빌딩 501호
2,"대전광역시 서구 가수원로 83, 모아드림아파트 상가동 105호"
3,대전광역시 동구 동구청로 89-16 유미빌딩 3층
4,경상남도 창원시 성산구 대정로 36 가음정종합상가 제3층 5호
5,세종특별자치시 달빛로 47(종촌동97-2) 종촌파크프라자 401호
6,서울특별시 서대문구 남가좌동381 DMC센트레빌상가3동 지1층3-11~14호
7,인천광역시 서구 가정로 411(신현동 302-2) 오투오프라자 4층
8,"경상남도 진주시 진주역로 95번길25(가좌동1978-1) , NK빌딩 502호"
9,"경상북도 영주시 대동로 52번길 3, 강경일빌딩 1층"
10,인천광역시 남동구 인천광역시 남동구 간석동 616-6(간석한신더휴 상가동)201호
11,강원도 홍천군 홍천읍 갈마로7길 8 (갈마곡리243-4) 함정식건물 2층
12,경기도 구리시 갈매순환로 92 퍼스트프라자 302호
13,"인천광역시 부평구 주부토로 183, 대명프라자 302호"
14,서울특별시 은평구 연서로 27길 25 대건빌딩 3층
15,서울특별시 은평구 연서로29길 34(갈현동430-12) 연우빌딩 2층
16,대구광역시 달서구 장기로 242-7 허정빌딩 2층
17,경기도 김포시 북변동690번지 산호@상가 307호
18,경기도 김포시 봉화로182번길 26 601호
19,충청남도 논산시 시민로295번길 4 (내동1039) 임희철건물 2층
20,서울특별시 강서구 화곡로258 대한빌딩 6층
21,"서울특별시 강남구 선릉로 30 개포빌딩 303호, 303-1호, 304-1호"
22,경기도 김포시 걸포2로 45(걸포동 262-1) Pine STAT4빌딩 401~403호
23,전라북도 김제시 도작로 104(검산동912-19) 전원빌딩 3층
24,경상남도 김해시 계동로 21(관동동451-1) 관동프라자 502호
25,"경상남도 거제시 경상남도 거제시 거제중앙로1817(고현동170-2) , 운정빌딩2층"
26,서울특별시 강동구 동남로82길121 3층
27,세종특별자치시 고운서길 10(고운동1713) 대현빌딩 501호
28,서울특별시 구로구 고척동 169-8 오토젠빌딩 4층
29,"경기도 김포시 고촌읍 수기로115, 센트럴타워 6층 604-1호"
30,"경기도 김포시 고촌읍 수기로 109(신곡리880-1) , 고촌캐슬힐507호"
31,경상남도 거제시 중곡로 40(고현동1039) 덕산베스트타운1차 상가 205~6호
32,"서울특별시 노원구 동일로1053, 영진빌딩 5층"
33,"충청남도 공주시 한적1길 2, 신관빌딩 4층"
34,"경기도 안산시 단원구 원선로 53(원곡동822) , 구분상가3층"
35,경기도 안양시 동안구 부림로 188 청용빌딩 4층
36,"충청남도 논산시 관촉로 279 ( 취암동 1041-3) , 2층"
37,대전광역시 유성구 관평2로 48 한호빌딩 4층
38,경기도 광명시 도덕로 34 이앤한빌딩 501호
39,부산광역시 수영구 광안로27 명인빌딩 3층
40,"전라남도 광양시 광양읍 와룡길 19, 1층"
41,광주광역시 북구 매곡로 85 매곡프라자빌딩 302호
42,"서울특별시 광진구 광나루로 590(구의동202-6) , 아산빌딩2층"
43,부산광역시 사하구 낙동대로 154(괴정동 310-4 외3)상록프라자 B동 3층
44,부산광역시 사하구 부산광역시 사하구 사리로 22(괴정동 296-1) 지광베르디아 203호
45,강원도 속초시 미시령로 3359번길 28 이우프라자 2층
46,경기도 파주시 파주로 266(동패동1695-1) 아이비타워 6층
47,경기도 용인시 기흥구 동백중앙로 175 우함빌딩 802호
48,경기도 김포시 김포한강4로 420번길 98 율곡스퀘어 한강리더스 201호~203호
49,경기도 김포시 김포한강9로 32 골든씨티 501호
50,"경기도 김포시 김포한강9로 113, 리치프라자2 205호"
51,"경기도 수원시 권선구 일월천로16번길 24 (구운동911-3) 대성빌딩4층,5층"
52,"인천광역시 남동구 인하로616, 커뮤니티프라자 206호"
53,서울특별시 광진구 구의로16길 89(구의동201-21) 지덕수건물 3층
54,서울특별시 광진구 서울특별시 광진구 광나루로30다길 3 (구의제1동)1층 전체
55,"경기도 수원시 권선구 권광로 55 (권선2동, 권선자이 이편한세상)상기1동 A-207호"
56,"경기도 오산시 궐리사로 29번길8(궐동 618-7) 부자빌딩4층 , 웅진씽크빅 궐동센터"
57,"인천광역시 계양구 양지로 133, 영화빌딩 2층(일부)"
58,대전광역시 중구 계백로1716번길 26(문화동1-55) 미성프라자 601호
59,경기도 수원시 권선구 금곡로73번길 71(금곡동520) 엘지APT상가 405호
60,경기도 수원시 권선구 금곡로102번길38 호매실프라자601호
61,경상남도 진주시 금산면 중천로 80(장사리963-2) 청솔빌딩 301호
62,경기도 오산시 수청로 197(금암동516-3) 백현프라자 301~2호
63,"경기도 의정부시 경기도 의정부시 청사로48번길 7 (자금동, 대송프라자)4층 401호"
64,서울특별시 금천구 독산로 197(독산동1043) 에이스B빌딩 6층
65,경기도 파주시 금빛로 24-28 우성매디피아 405호 웅진씽크빅
66,광주광역시 서구 화개1로 59-1(금호동239-7) 정아빌딩 5층
67,"충청남도 당진시 송악읍 반촌로70-17, KD타워 501~503호"
68,경기도 김포시 검단로 920(감정동 555-5) 동신빌딩 4층
69,"경기도 김포시 풍무로68번길44(풍무동788) 골든프라자2 , 406호"
70,경기도 김포시 김포한강2로 106(장기동 2055-4)? 한강메디플러스 602호
71,"경기도 김포시 경기도 김포시 김포한강4로 117(장기동1608),홍우프라자305,403호"
72,경상남도 김해시 월산로 13-25 (부곡동1163-6) 선우빌딩 301호
73,"전라북도 군산시 나운안1길 19, 지빌딩 301호"
74,전라북도 남원시 낙현길 5 (양우내안애상가동 110호)
75,"제주특별자치도 제주시 남광로2길 11-16, 1층"
76,"울산광역시 남구 남구 수암로116번길 65-13, 1층"
77,"경기도 용인시 처인구 남사면 한숲로 60, 처인프라자 505,506호"
78,"대구광역시 중구 재마루길 94(남산동156-20) , 4층"
79,대구광역시 중구 남산로 45(남산동2466-23) 홍제빌딩 2층
80,전라남도 무안군 남악4로 34번길 31 남악세영리첼아파트상가 203호
81,전라남도 무안군 삼향읍 남악2로74번길 35(남악리2095) 손상혁건물 4층
82,경상남도 창원시 성산구 가음로13번길 33(남양동8) 남양종합상가 406호
83,충청남도 홍성군 홍성읍 홍장북로 423(남장리75-28) 남장빌딩 3층
84,부산광역시 해운대구 좌동순환로 305(좌동1443-4) 신호프라자 5층
85,"대전광역시 동구 곤룡로6 (낭월동622) , 정재현빌딩 401호"
86,충청남도 논산시 논산시 중앙로212 (내동627) 박종근건물 3층
87,대전광역시 서구 대전광역시 서구 도산로253번길 33 (내동)2층
88,경상남도 창원시 마산회원구 내서읍 숲속로 27(삼계리508-1) 주공6단지상가 2층
89,경상남도 창원시 마산회원구 내서읍 숲속로 27 숲속마을 6단지 상가동 201~203호(삼계리 508-1)
90,충청남도 홍성군 홍북면 청사로 36 (신경리1181) 승우빌딩 501호
91,서울특별시 노원구 초안산로2라길 11(월계동) 2층
92,제주특별자치도 수덕7길 21 노성빌주상복합상가 103호
93,"제주특별자치도 제주시 수덕3길33, 4층,5층"
94,전라남도 완도군 노화읍 이포17번길5-1 2층
95,"경기도 의정부시 녹양로 89, 성주당빌딩 2층/4층"
96,충청남도 논산시 시민로295번길 6 (내동1040) 건국빌딩 2층
97,인천광역시 남동구 에코중앙로156번길 5-28 3층(박장규건물)
98,경기도 화성시 동탄지성로 143(능동1114-2) 에버스타 702호
99,부산광역시 사하구 다대낙조2길 3(다대동1548-18) 몰운대빌딩 601호
100,대구광역시 달성군 다사읍 대실역북로1길 15(매곡리1547-8) 연합빌딩 403호
101,"대구광역시 달성군 다사읍 다사역로39(매곡리491), 웅진씽크빅다사라운지"
102,"대구광역시 달성군 대역실역북로1길15, 연합빌딩 4층 다사중등센터"
103,경기도 남양주시 다산중앙로172번길 38 (다산동5778-2) 엘투프라자 305호
104,"경기도 남양주시 다산순환로 420,성산타워플레이스3 504호"
105,강원도 원주시 구곡길 2-41(단구동1583-5) 우순득건물 1층
106,"전라남도 담양군 중앙로91 (담주리77-2) , 박향규빌딩2층"
107,"부산광역시 사하구 제석로 54, 규원빌딩 3층"
108,경기도 안성시 당왕동 207-2 유태빌딩 301호
109,인천광역시 서구 고산후로95번길20 힘찬프라자 401호
110,대구광역시 달서구 조암남로 172-12(유천동87) 삼우T&C 301호
111,충청북도 청주시 청주시 흥덕구 대농로 39?LK 트리플렉스 B동 301호
112,경상남도 양산시 양주로 154(중부동 696-1) 대동상가 502호
113,서울특별시 동작구 상도로 45(대방동395-3) 미성빌딩 3층
114,"울산광역시 동구 대학길 31,(화정동 174-9) 장병수빌딩 2,3층"
115,"부산광역시 서구 대영로45번길 80(서대신동3가),하종근빌딩4층"
116,서울특별시 광진구 용마산로 116(중곡동18-73) 한도빌딩 2층
117,대구광역시 달서구 조암남로32길 30 5층 웅진씽크빅 대천학원
118,"경기도 시흥시 서울대학로172-20 한라3차상가 4동 120호, 121호"
119,경기도 고양시 일산서구 경기도 고양시 일산서구 대화로 130(대화동) 2층 우측일부
120,"충청북도 진천군 덕산읍 대하로133 G플레이스 602호, 603호"
121,경기도 남양주시 와부읍 덕소로 97번길 61 은산빌딩 402호
122,"경기도 남양주시 와부읍 덕소로97번길61, 은산빌딩 2층"
123,경기도 고양시 일산서구 하이파크2로 42 현해프라자 3층 302호
124,경기도 양주시 회정로 114(덕정동208) 금강프라자 307호
125,전라북도 전주시 덕진구 쪽구름로 40(동산동710) 하형식건물 2층
126,경기도 하남시 역말로 50-2(덕풍동431-4) 최병덕빌딩 2층
127,"세종특별자치시 보듬4로 9 카림애비뉴상가 1동 4F 11,12호"
128,경기도 고양시 덕양구 도내동 1022 도래울빌딩 402호
129,"경상북도 구미시 도봉로 76-51(도량동227-2),중앙빌딩501호"
130,대전광역시 유성구 도안대로 511-13 402호
131,세종특별자치시 도움3로 105-5(종촌동151-87) 종촌중앙프라자 703~4호
132,"대구광역시 달서구 한실로 75 (도원동 1432-4),석송빌딩 4층"
133,전라북도 남원시 도통동 584-1 중우빌딩 3층
134,"인천광역시 남구 숙골로 120, 스카이프라자2 202호"
135,"전라남도 여수시 돌산읍 강남3길 39-21, 2층 웅진씽크빅 돌산학원"
136,"대구광역시 동구 신암남로 19(신암동186-3) ,신월드 제3층 301호,302호,303호"
137,충청남도 보령시 충청남도 보령시 한내로터리길 153 (sc프라자)202호
138,경기도 용인시 기흥구 동백중앙로 358-8(동백동598-3) 백현프라자 203호
139,울산광역시 동구 남목21길 15(동부동666-1) 김성오건물 2층
140,"충청북도 음성군 맹동면 원중로 1438(동성리488) , DS타워 303호"
141,"강원도 철원군 동송읍 금학로 191, 2층"
142,"인천광역시 계양구 동양로 123 금화프라자 201호,202호"
143,"경상남도 창원시 경상남도 창원시 의창구 용정길46번길 20 (동읍, 대원하이빌 2차) 상가 401호"
144,경상남도 김해시 월산로 111-61(부곡동 804-2)부곡프라자 406호
145,"부산광역시 해운대구 좌동순환로 174,거성프라자 602호"
146,"대구광역시 북구 동천로 24길 7, 우정빌딩 4층"
147,"경기도 화성시 동탄순환대로18길 16 센터프라자 604호,605호"
148,"경기도 화성시 동탄지성로11 (반송동93-2)골드프라자 501,502호"
149,강원도 동해시 청운2길 17-9(쇄운동) 1층
150,강원도 동해시 청운2길 17-9(쇄운동52-3) 전현욱빌딩 1층
151,제주특별자치도 서귀포시 동홍남로 33 정동ST빌딩 2층
152,세종특별자치시 마음안1로 155(고운동1369) 성진프라자 703호
153,충청남도 천안시 서북구 두정중8길 35(두정동1545) 건정빌딩 201호
154,전라북도 완주군 봉동읍 둔산1로 130(둔산리873-3) 코아루상가동 201호
155,서울특별시 강서구 공항대로55길 33(등촌동644-12) 성명빌딩 3층
156,서울특별시 강서구 공항대로41길 50 보고시티프라자 303호
157,"서울특별시 강서구 마곡중앙로 59-21 에이스타워2 421호,422호"
158,서울특별시 강서구 마곡중앙5로 81(마곡동739-3) 에스비타운 708호
159,"전라남도 광양시 사동로 182(마동1051-2) 라온빌딩 3,4층"
160,"경기도 고양시 경기도 고양시 일산동구 강석로 108 (마두동789) ,강촌마을라이프상가205호"
161,"경기도 김포시 김포한강8로 166, 다빈치프라자 204호 웅진씽크빅 마산학원"
162,경상남도 창원시 마산회원구 내서읍 광려천북로 184(호계리53-2) 코코프라자 503호
163,인천광역시 서구 완정로 43 마전프라자 302호
164,인천광역시 서구 완정로39 정우프라자 202호
165,서울특별시 송파구 서울특별시 송파구 마천로 57길 22-1(마천동 301-46) 박창수건물2층
166,"서울특별시 중랑구 용마산로454, 2층"
167,울산광역시 북구 신천로 83(매곡동474-1) 에이치프라자 203호
168,경기도 수원시 권선구 세류로90번길 34 한마음프라자 401호
169,"경기도 수원시 팔달구 권광로 246(인계동 384) , 래미안노블클래스 301호"
170,서울특별시 강동구 상암로51길 61(명일동332) 엘지아파트상가 205호
171,충청남도 보령시 주공로 67(명천동396-1) 명천상가 202호
172,전라북도 익산시 선화로1길 12(모현동1가863) 성진빌딩 3층
173,경기도 시흥시 목감둘레로 258 메트로타워1 401호 402호?
174,서울특별시 양천구 목동중앙로 67(목동763-1) 성원아파트상가 2층
175,"서울특별시 양천구 목동동로189, 삼성쉐르빌1, 111호"
176,충청남도 천안시 동남구 목천읍 삼성5길 62 아이조움프라자 3층 302호
177,경상남도 창원시 의창구 무동서로 76 근린생활시설3 제지1층 제3-103호(무동리104-1)
178,강원도 원주시 만대로 170-1(무실동1663-4) 드림오피스 3층
179,서울특별시 종로구 통일로 246-20(무악 현대아파트 상가동 3층&4층)
180,전라남도 무안군 무안읍 창포로 19-10(교촌리1042-2) 지우빌딩 307호
181,경상북도 포항시 남구 오천읍 남원로 85-93(원리893-88) 천산빌딩 2층
182,"경기도 파주시 문산읍 당동2로 1, 홈프라자 201호"
183,"울산광역시 남구 문수로 403(신정동1629-6) , 대형빌딩201호"
184,"경상남도 밀양시 미리벌로 51-8,대은빌딩 2층"
185,경기도 하남시 미사강변대로226번길 34 애플빌딩 4층
186,"서울특별시 강북구 서울특별시 강북구 도봉로38길19-7(미아동), 2층 전체"
187,전라북도 군산시 수송로 289 정원빌딩 2층
188,경기도 의정부시 용현로 140(민락동705-1) 낙원빌딩 202호
189,"경기도 의정부시 용현로154(민락동 700-2) , 광희빌딩2층"
190,"세종특별자치시 세종특별자치시 한누리대로 1828 시드니블루 504,505호"
191,강원도 원주시 오리현길 59 스카이빌딩 4층 401호
192,경상남도 창원시 성산구 반송로 148-9(반림동17-9) 반송아이필프라자 701호
193,경기도 화성시 동탄솔빛로 52(반송동217-5) 금탑프라자 302호
194,경상남도 창원시 성산구 반송로148-9 반송아이필프라자401호
195,경기도 화성시 반월동 869-4골드프라자 401호
196,경상남도 창원시 성산구 반지동 23 대동그린코아상가 4층 404-1호
197,"경기도 화성시 향남읍 발안서로 15(발안리297) , 양만기상가302호"
198,서울특별시 강서구 방화동 193-11 불해빌딩 3층
199,경기도 시흥시 배곧4로 32-17(정왕동1772-28) 배곧로자벨 306~7호
200,"경기도 시흥시 서울대학로278번길 19-13 호반써밋플레이스 107동 A-247호,A-248호"
201,충청남도 아산시 배방로 58-40 한성하우시스 501호
202,충청남도 천안시 서북구 백석4길 23(백석동883) 부국빌딩 3층
203,광주광역시 남구 백운로82번길 4(백운동451-30) 휴먼빌딩 3층
204,전라북도 군산시 나운동 520 (백토로 114) 광명빌딩(402호+403호)
205,서울특별시 강북구 한천로 109길 53 (번제3동)2층 유제길건물
206,"울산광역시 울주군 점촌4길 32, 201호"
207,대구광역시 수성구 상록로76 3층 웅진씽크빅 범어센터
208,"경기도 남양주시 별내5로5번길 11, 성산메디컬타워 601호"
209,경기도 화성시 병점1로 66-12 (병점동490-2) 하이코아 302호
210,전라남도 완도군 보길면 보길동로19번길10(부황리7-2)2층
211,경기도 용인시 기흥구 보정로 115 우영프라자 303호
212,대전광역시 서구 복수동로 48 대성빌딩 2층(복수동 486번지)
213,대구광역시 북구 복현로 130 복현3차서한이다음 202호
214,경기도 안산시 상록구 본이로 29(본오동790-18) 김정순건물 201호
215,경기도 화성시 봉담읍 동화길 91(동화리599-4) 웅신아트프라자 901~2호
216,광주광역시 남구 봉선2로85 청호(봉선)빌딩 2층
217,인천광역시 부평구 동수천로 132 부개빌딩 703호
218,부산광역시 금정구 동현로 116(부곡동964-1) 부곡상가B동 201호
219,"부산광역시 연제구 월드컵대로 52(연산동686-6) , 상원빌딩2층"
220,"부산광역시 남구 분포로115, 힐탑탑플레이스 제 B 동 1203호"
221,"전라북도 익산시 궁동로 147, 미르빌딩 4층"
222,충청남도 부여군 부소로96 1층
223,충청남도 논산시 논산대로 269-13 청솔아파트상가 201호
224,인천광역시 부평구 길주남로10번길 21(부평동38-166) 부평래미안상가 321호
225,인천광역시 부평구 부평대로 90 여산빌딩 A동 401호
226,"경기도 성남시 경기도 성남시 분당구 판교로442(이매동131-6) , 우일프라자501,503호"
227,충청남도 천안시 서북구 봉서산로 85(불당동780) 호반리젠시빌 203호
228,충청남도 천안시 서북구 불당4로91 (불당동739)엘리시온빌딩 2층(프라임학원)
229,충청남도 천안시 서북구 불당21로 40 호반써밋플레이스 상가3층 웅진씽크빅
230,대전광역시 대덕구 비래동로 20 선진빌딩 301호
231,"경기도 안양시 동안구 비산동 405-10 두성프라자 201,203호"
232,광주광역시 광산구 비아중앙로 45(비아동77-1) 김용환빌딩 2층
233,경기도 평택시 만세로 1839(비전동1012-1) 아이메듀타워 501~2호
234,전라남도 나주시 빛가람동 330-5(그린로335) 수플러스빌딩 202호
235,"경상남도 사천시 조동길 32, 복일하우스 301호"
236,"서울특별시 동작구 사당로215, 서림빌딩 401호"
237,경상북도 경산시 백자로 72 우리빌딩 3층 302호
238,경상남도 진주시 사들로 56 노블프라자빌딩 2층 204호
239,"대구광역시 북구 내곡로 38-4, 미광프라자 2층"
240,"서울특별시 양천구 신월로 99, 신월시영아파트상가 202, 203호"
241,경기도 김포시 사우중로 93(북변동829) 한빛프라자 502호
242,경기도 김포시 사우중로 82 사우프라자 2층
243,"부산광역시 동래구 아시아드대로 146번길 4(사직동 107-4), YH빌딩 2,3층"
244,"경상남도 창원시 성산구 동산로 162(사파동, 무궁화상가) 3층 웅진씽크빅 사파학원"
245,"인천광역시 부평구 마장로272번길 54, 예향스포츠센타 A-302호"
246,충청북도 청주시 서원구 산남로 75(산남동 685) 웰빙프라자3층
247,경기도 파주시 목동동 1052-2 목동트윈프라자 501호
248,경기도 군포시 산본천로 43-6 솔거(대림)스포츠센터 2층 일부(204호)
249,충청남도 예산군 예산읍 역전로134번길 45(산성리779) 청운빌딩 2층
250,광주광역시 광산구 손재로110번길36 하남센트럴 2층
251,경기도 광주시 곤지암읍 경충대로 778 금진빌딩 2층
252,"인천광역시 부평구 체육관로 38 (삼산2동, 세원빌딩)602호"
253,울산광역시 남구 돋질로251번길 26-1(삼산동1464-4) 성용길빌딩 2층
254,"울산광역시 남구 돋질로 251번길17 (삼산동 1513-6) , 안성만빌딩2층"
255,"경기도 양주시 삼숭로38번길 71(삼숭동683-2) 양주프라자 2층,4층"
256,제주특별자치도 제주시 일주동로 350-5(삼양2동2174-19) 청담휴클래스2 201호
257,"전라남도 영암군 삼호읍 대불주거2로3길 17 , 1층"
258,전라남도 영암군 삼호읍 대불주거로 55-2 2층 전체
259,전라남도 영암군 삼호읍 대불주거로 55-1(용앙리407-6) 롯데슈퍼 2층
260,전라남도 영암군 삼호읍 대불주거5로6(용앙리 1664-7) G PLACE 대불202호
261,서울특별시 노원구 한글비석로 474(상계동639-1) 보람아파트상가 218~9호
262,경상남도 창원시 성산구 동산로 122(상남동45-1) 스카이웰빙파크 6층
263,전라북도 정읍시 충정로 80(상동205-5) 연파빌딩 201호
264,경기도 안산시 상록구 샘골로 154(본오동872-16) 신천빌딩 202호
265,경상남도 거창군 거창읍 거열로 98(상림리799) 그린빌딩 4층
266,대구광역시 달서구 조암남로 9(상인동1595-3) 재원빌딩 2층
267,"경기도 화성시 경기도 화성시 수노을중앙로118(새솔동76-3) , 센텀프라자1동 502,503호"
268,"대전광역시 대덕구 신탄진로 852-1(신탄진동 116-7) ,김응현빌딩2층"
269,전라북도 전주시 완산구 세내로 546 (효자동3가1456-3) 신한빌딩 3층
270,"부산광역시 서구 대영로 38번길11, 대신푸르지오 아파트상가 109동 상가동 301호, 30"
271,광주광역시 남구 중앙로50번안길 15 (서동 75-1) 5층
272,"울산광역시 동구 방어진순환도로 975,현대패밀리서부상가 3층"
273,울산광역시 동구 동해안로4(서부동587-3)송명헌빌딩 2층
274,전라북도 전주시 완산구 당산로 50(서신동796-3) 수진빌딩 4층
275,대구광역시 달성군 다사읍 서재로30길 2(서재리137) 유일빌딩 202호
276,"인천광역시 남동구 서창남순환로 215번길 17, 마스타프라자 401호,402호"
277,인천광역시 남동구 서창남순환로 56 준프라자 401호
278,"충청남도 서천군 서천읍 서천로 126(군사리 751-4) , 2층"
279,제주특별자치도 서귀포시 제주특별자치도 서귀포시 흙담솔로22(서홍동) 2층 전체
280,강원도 춘천시 퇴계농공로 10 (석사동878-2) 한주빌딩 5층
281,전라남도 목포시 텃골로 13번길 70 덕성빌딩 2층
282,광주광역시 광산구 선운중앙로 52(선암동565) 해송빌딩 4층
283,전라북도 익산시 선화로69길48 우석빌딩 5층
284,"경기도 가평군 설악면 신천중앙로 121, 2층 (설악면 신천리 454-1)"
285,경기도 성남시 중원구 원터로 107-4(성남동2511) 김승희빌딩2층
286,서울특별시 강동구 성안로7길35 3층 전체
287,"서울특별시 성북구 서울특별시 성북구 동소문로 34 2층 연진빌딩,성북중등프라임"
288,서울특별시 마포구 월드컵북로 230 현대상가 2층 9호
289,서울특별시 강동구 성안로 71 소망빌딩 4층
290,충청남도 서산시 성연3로37 보람빌딩 301호
291,경상남도 창원시 성산구 삼정자로43번길 8(성주동 127번지) 성주빌딩 502호
292,경상북도 성주군 성주읍3길 13(경산리 42-15) 김정수빌딩 2층
293,"경기도 안산시 경기도 안산시 상록구 충장로 515(성포동591-3) , 정수빌딩304,305호"
294,"서울특별시 관악구 은천로25길69 에이플러스프라자 203호, 205호"
295,"세종특별자치시 세종특별자치시 세종로 1229(고운동2092) , 스타플레이스303~307호"
296,"대구광역시 달성군 다사읍 세천로 161,프라임시티 203호"
297,세종특별자치시 세종특별자치시 소담동580 지엘플렉스2 505~6호
298,전라남도 여수시 소라면 죽림로 41(죽림리 1198-1) 2층
299,전라남도 여수시 소라면 죽림로 31 3층
300,"인천광역시 남동구 포구로 77(논현동109-19), 도원프라자202호"
301,"전라북도 군산시 설림길 54-2 (소룡동1344-2) , 은적사1동 1,2호"
302,광주광역시 동구 광주광역시 동구 남문로622번길 6 (지원1동)1층 (태산빌딩)
303,경기도 광명시 소하동 909-39 광명상가 2층
304,전라북도 전주시 덕진구 솔내로 184 4층
305,울산광역시 울주군 솔밭1길 34 월드타운 2층
306,울산광역시 울주군 온양읍 솔밭1길 34 월드타운 2층
307,대전광역시 유성구 구즉로25 송강그린상가 206~207호
308,"인천광역시 연수구 인천타워대로 54번길 9 에몬스프라자 201호, 202호"
309,"인천광역시 연수구 해돋이로 152번길35(송도동 21-45) , 퍼스트프라자202,203호"
310,"경기도 군포시 송부로74번길 3-40 금강프라자 304호,305호"
311,"경기도 포천시 소흘읍 송우로 76, 랜드프라자 601호"
312,울산광역시 북구 화산로 123(송정동 1232-1) 골드테라스 406호
313,전라북도 전주시 덕진구 시천로 35(송천동1가626-35) 용진빌딩 3층
